x,y,F,PG
2,7,36,36.397009708350566
3,7,45,45.397009708350566
4,7,54,54.397009708350566
5,7,63,63.39700970835056
6,7,72,72.39700970835057
7,7,81,81.39700970835057
8,7,90,90.39700970835057
9,7,99,99.39700970835057
10,7,108,108.39700970835057
-10,8,-79,-78.55547749115671
-9,8,-69,-68.55547749115671
-8,8,-59,-58.55547749115671
-7,8,-49,-48.55547749115672
-6,8,-39,-38.55547749115672
-5,8,-29,-28.555477491156722
-4,8,-19,-18.555477491156722
-3,8,-9,-8.555477491156722
-2,8,1,1.4445225088432814
-1,8,11,11.444522508843283
0,8,21,21.444522508843285
1,8,31,31.444522508843285
2,8,41,41.444522508843285
3,8,51,51.44452250884328
4,8,61,61.44452250884328
5,8,71,71.44452250884328
6,8,81,81.44452250884328
7,8,91,91.44452250884328
8,8,101,101.44452250884328
9,8,111,111.44452250884329
10,8,121,121.44452250884329
-10,9,-86,-85.50796469066398
-9,9,-75,-74.50796469066398
-8,9,-64,-63.50796469066399
-7,9,-53,-52.50796469066399
-6,9,-42,-41.507964690664004
-5,9,-31,-30.507964690664004
-4,9,-20,-19.507964690664004
-3,9,-9,-8.507964690664004
-2,9,2,2.492035309336
-1,9,13,13.492035309336002
0,9,24,24.492035309336003
1,9,35,35.492035309336
2,9,46,46.492035309336
3,9,57,57.492035309336
4,9,68,68.49203530933599
5,9,79,79.49203530933599
6,9,90,90.49203530933599
7,9,101,101.49203530933599
8,9,112,112.49203530933602
9,9,123,123.49203530933602
10,9,134,134.49203530933602
-10,10,-93,-92.46045189017127
-9,10,-81,-80.46045189017127
-8,10,-69,-68.46045189017127
-7,10,-57,-56.46045189017127
-6,10,-45,-44.460451890171285
-5,10,-33,-32.460451890171285
-4,10,-21,-20.46045189017129
-3,10,-9,-8.460451890171289
-2,10,3,3.539548109828715
-1,10,15,15.539548109828717
0,10,27,27.539548109828715
1,10,39,39.539548109828715
2,10,51,51.539548109828715
3,10,63,63.539548109828715
4,10,75,75.53954810982871
5,10,87,87.53954810982871
6,10,99,99.53954810982871
7,10,111,111.53954810982873
8,10,123,123.53954810982873
9,10,135,135.53954810982873
10,10,147,147.53954810982873
