x,y,F,PG
-7,-5,3,-32.70275734190241
-6,-5,0,-30.70275734190241
-5,-5,-3,-28.70275734190241
-4,-5,-6,-26.70275734190241
-3,-5,-9,-24.70275734190241
-2,-5,-12,-22.70275734190241
-1,-5,-15,-20.70275734190241
0,-5,-18,-18.70275734190241
1,-5,-21,-16.70275734190241
2,-5,-24,-14.702757341902409
3,-5,-27,-12.702757341902409
4,-5,-30,-10.702757341902409
5,-5,-33,-8.702757341902409
6,-5,-36,-6.70275734190241
7,-5,-39,-4.70275734190241
8,-5,-42,-2.7027573419024096
9,-5,-45,-0.7027573419024096
10,-5,-48,1.2972426580975904
-10,-4,5,-35.70275734190241
-9,-4,3,-33.70275734190241
-8,-4,1,-31.70275734190241
-7,-4,-1,-29.70275734190241
-6,-4,-3,-27.70275734190241
-5,-4,-5,-25.70275734190241
-4,-4,-7,-23.70275734190241
-3,-4,-9,-21.70275734190241
-2,-4,-11,-19.70275734190241
-1,-4,-13,-17.70275734190241
0,-4,-15,-15.702757341902409
1,-4,-17,-13.702757341902409
2,-4,-19,-11.702757341902409
3,-4,-21,-9.702757341902409
4,-4,-23,-7.70275734190241
5,-4,-25,-5.70275734190241
6,-4,-27,-3.7027573419024096
7,-4,-29,-1.7027573419024096
8,-4,-31,0.29724265809759043
9,-4,-33,2.2972426580975904
10,-4,-35,4.29724265809759
-10,-3,-2,-32.70275734190241
-9,-3,-3,-30.70275734190241
-8,-3,-4,-28.70275734190241
-7,-3,-5,-26.70275734190241
-6,-3,-6,-24.70275734190241
-5,-3,-7,-22.70275734190241
-4,-3,-8,-20.70275734190241
-3,-3,-9,-18.70275734190241
-2,-3,-10,-16.70275734190241
-1,-3,-11,-14.702757341902409
0,-3,-12,-12.702757341902409
1,-3,-13,-10.702757341902409
2,-3,-14,-8.702757341902409
3,-3,-15,-6.70275734190241
4,-3,-16,-4.70275734190241
5,-3,-17,-2.7027573419024096
6,-3,-18,-0.7027573419024096
7,-3,-19,1.2972426580975904
8,-3,-20,3.2972426580975904
9,-3,-21,5.29724265809759
10,-3,-22,7.29724265809759
-10,-2,-9,-29.70275734190241
-9,-2,-9,-27.70275734190241
-8,-2,-9,-25.70275734190241
-7,-2,-9,-23.70275734190241
-6,-2,-9,-21.70275734190241
-5,-2,-9,-19.70275734190241
-4,-2,-9,-17.70275734190241
-3,-2,-9,-15.702757341902409
-2,-2,-9,-13.702757341902409
-1,-2,-9,-11.702757341902409
0,-2,-9,-9.702757341902409
1,-2,-9,-7.70275734190241
2,-2,-9,-5.70275734190241
3,-2,-9,-3.7027573419024096
4,-2,-9,-1.7027573419024096
5,-2,-9,0.29724265809759043
6,-2,-9,2.2972426580975904
7,-2,-9,4.29724265809759
8,-2,-9,6.29724265809759
9,-2,-9,8.297242658097591
10,-2,-9,10.297242658097591
-10,-1,-16,-26.70275734190241
-9,-1,-15,-24.70275734190241
-8,-1,-14,-22.70275734190241
-7,-1,-13,-20.70275734190241
-6,-1,-12,-18.70275734190241
-5,-1,-11,-16.70275734190241
-4,-1,-10,-14.702757341902409
-3,-1,-9,-12.702757341902409
-2,-1,-8,-10.702757341902409
-1,-1,-7,-8.702757341902409
0,-1,-6,-6.70275734190241
1,-1,-5,-4.70275734190241
2,-1,-4,-2.7027573419024096
3,-1,-3,-0.7027573419024096
4,-1,-2,1.2972426580975904
5,-1,-1,3.2972426580975904
6,-1,0,5.29724265809759
7,-1,1,7.29724265809759
8,-1,2,9.297242658097591
9,-1,3,11.297242658097591
10,-1,4,13.297242658097591
-10,0,-23,-23.70275734190241
-9,0,-21,-21.70275734190241
-8,0,-19,-19.70275734190241
-7,0,-17,-17.70275734190241
-6,0,-15,-15.702757341902409
-5,0,-13,-13.702757341902409
-4,0,-11,-11.702757341902409
-3,0,-9,-9.702757341902409
-2,0,-7,-7.70275734190241
-1,0,-5,-5.70275734190241
0,0,-3,-3.7027573419024096
1,0,-1,-1.7027573419024096
2,0,1,0.29724265809759043
3,0,3,2.2972426580975904
4,0,5,4.29724265809759
5,0,7,6.29724265809759
6,0,9,8.297242658097591
7,0,11,10.297242658097591
8,0,13,12.297242658097591
9,0,15,14.297242658097591
10,0,17,16.29724265809759
-10,1,-30,-20.70275734190241
-9,1,-27,-18.70275734190241
-8,1,-24,-16.70275734190241
-7,1,-21,-14.702757341902409
-6,1,-18,-12.702757341902409
-5,1,-15,-10.702757341902409
-4,1,-12,-8.702757341902409
-3,1,-9,-6.70275734190241
-2,1,-6,-4.70275734190241
-1,1,-3,-2.7027573419024096
0,1,0,-0.7027573419024096
1,1,3,1.2972426580975904
2,1,6,3.2972426580975904
3,1,9,5.29724265809759
4,1,12,7.29724265809759
5,1,15,9.297242658097591
6,1,18,11.297242658097591
7,1,21,13.297242658097591
8,1,24,15.297242658097591
9,1,27,17.29724265809759
10,1,30,19.29724265809759
-10,2,-37,-17.70275734190241
-9,2,-33,-15.702757341902409
-8,2,-29,-13.702757341902409
-7,2,-25,-11.702757341902409
-6,2,-21,-9.702757341902409
-5,2,-17,-7.70275734190241
-4,2,-13,-5.70275734190241
-3,2,-9,-3.7027573419024096
-2,2,-5,-1.7027573419024096
-1,2,-1,0.29724265809759043
0,2,3,2.2972426580975904
1,2,7,4.29724265809759
2,2,11,6.29724265809759
3,2,15,8.297242658097591
4,2,19,10.297242658097591
5,2,23,12.297242658097591
6,2,27,14.297242658097591
7,2,31,16.29724265809759
8,2,35,18.29724265809759
9,2,39,20.29724265809759
10,2,43,22.29724265809759
-10,3,-44,-14.702757341902409
-9,3,-39,-12.702757341902409
-8,3,-34,-10.702757341902409
-7,3,-29,-8.702757341902409
-6,3,-24,-6.70275734190241
-5,3,-19,-4.70275734190241
-4,3,-14,-2.7027573419024096
-3,3,-9,-0.7027573419024096
-2,3,-4,1.2972426580975904
-1,3,1,3.2972426580975904
0,3,6,5.29724265809759
1,3,11,7.29724265809759
2,3,16,9.297242658097591
3,3,21,11.297242658097591
4,3,26,13.297242658097591
5,3,31,15.297242658097591
6,3,36,17.29724265809759
7,3,41,19.29724265809759
8,3,46,21.29724265809759
9,3,51,23.29724265809759
10,3,56,25.29724265809759
-10,4,-51,-11.702757341902409
-9,4,-45,-9.702757341902409
-8,4,-39,-7.70275734190241
-7,4,-33,-5.70275734190241
-6,4,-27,-3.7027573419024096
-5,4,-21,-1.7027573419024096
-4,4,-15,0.29724265809759043
-3,4,-9,2.2972426580975904
-2,4,-3,4.29724265809759
-1,4,3,6.29724265809759
0,4,9,8.297242658097591
1,4,15,10.297242658097591
2,4,21,12.297242658097591
3,4,27,14.297242658097591
4,4,33,16.29724265809759
5,4,39,18.29724265809759
6,4,45,20.29724265809759
7,4,51,22.29724265809759
8,4,57,24.29724265809759
9,4,63,26.29724265809759
10,4,69,28.29724265809759
-10,5,-58,-8.702757341902409
-9,5,-51,-6.70275734190241
-8,5,-44,-4.70275734190241
-7,5,-37,-2.7027573419024096
-6,5,-30,-0.7027573419024096
-5,5,-23,1.2972426580975904
-4,5,-16,3.2972426580975904
-3,5,-9,5.29724265809759
-2,5,-2,7.29724265809759
-1,5,5,9.297242658097591
0,5,12,11.297242658097591
1,5,19,13.297242658097591
2,5,26,15.297242658097591
3,5,33,17.29724265809759
4,5,40,19.29724265809759
5,5,47,21.29724265809759
6,5,54,23.29724265809759
7,5,61,25.29724265809759
8,5,68,27.29724265809759
9,5,75,29.29724265809759
10,5,82,31.29724265809759
-10,6,-65,-5.70275734190241
-9,6,-57,-3.7027573419024096
-8,6,-49,-1.7027573419024096
-7,6,-41,0.29724265809759043
-6,6,-33,2.2972426580975904
-5,6,-25,4.29724265809759
-4,6,-17,6.29724265809759
-3,6,-9,8.297242658097591
-2,6,-1,10.297242658097591
-1,6,7,12.297242658097591
0,6,15,14.297242658097591
1,6,23,16.29724265809759
2,6,31,18.29724265809759
3,6,39,20.29724265809759
4,6,47,22.29724265809759
5,6,55,24.29724265809759
6,6,63,26.29724265809759
7,6,71,28.29724265809759
8,6,79,30.29724265809759
9,6,87,32.29724265809759
10,6,95,34.29724265809759
-10,7,-72,-2.7027573419024096
-9,7,-63,-0.7027573419024096
-8,7,-54,1.2972426580975904
-7,7,-45,3.2972426580975904
-6,7,-36,5.29724265809759
-5,7,-27,7.29724265809759
-4,7,-18,9.297242658097591
-3,7,-9,11.297242658097591
-2,7,0,13.297242658097591
-1,7,9,15.297242658097591
0,7,18,17.29724265809759
1,7,27,19.29724265809759
2,7,36,21.29724265809759
3,7,45,23.29724265809759
4,7,54,25.29724265809759
5,7,63,27.29724265809759
6,7,72,29.29724265809759
7,7,81,31.29724265809759
8,7,90,33.29724265809759
9,7,99,35.29724265809759
10,7,108,37.29724265809759
-10,8,-79,0.29724265809759043
-9,8,-69,2.2972426580975904
-8,8,-59,4.29724265809759
-7,8,-49,6.29724265809759
-6,8,-39,8.297242658097591
-5,8,-29,10.297242658097591
-4,8,-19,12.297242658097591
-3,8,-9,14.297242658097591
-2,8,1,16.29724265809759
-1,8,11,18.29724265809759
0,8,21,20.29724265809759
1,8,31,22.29724265809759
2,8,41,24.29724265809759
3,8,51,26.29724265809759
4,8,61,28.29724265809759
5,8,71,30.29724265809759
6,8,81,32.29724265809759
7,8,91,34.29724265809759
8,8,101,36.29724265809759
9,8,111,38.29724265809759
10,8,121,40.29724265809759
-10,9,-86,3.2972426580975904
-9,9,-75,5.29724265809759
-8,9,-64,7.29724265809759
-7,9,-53,9.297242658097591
-6,9,-42,11.297242658097591
-5,9,-31,13.297242658097591
-4,9,-20,15.297242658097591
-3,9,-9,17.29724265809759
-2,9,2,19.29724265809759
-1,9,13,21.29724265809759
0,9,24,23.29724265809759
1,9,35,25.29724265809759
2,9,46,27.29724265809759
3,9,57,29.29724265809759
4,9,68,31.29724265809759
5,9,79,33.29724265809759
6,9,90,35.29724265809759
7,9,101,37.29724265809759
8,9,112,39.29724265809759
9,9,123,41.29724265809759
10,9,134,43.29724265809759
-10,10,-93,6.29724265809759
-9,10,-81,8.297242658097591
-8,10,-69,10.297242658097591
-7,10,-57,12.297242658097591
-6,10,-45,14.297242658097591
-5,10,-33,16.29724265809759
-4,10,-21,18.29724265809759
-3,10,-9,20.29724265809759
-2,10,3,22.29724265809759
-1,10,15,24.29724265809759
0,10,27,26.29724265809759
1,10,39,28.29724265809759
2,10,51,30.29724265809759
3,10,63,32.29724265809759
4,10,75,34.29724265809759
5,10,87,36.29724265809759
6,10,99,38.29724265809759
7,10,111,40.29724265809759
8,10,123,42.29724265809759
9,10,135,44.29724265809759
10,10,147,46.29724265809759
